N,time
13,1
13,1
13,1
13,1
13,1
13,3071
13,1
13,7167
13,1
13,31
13,1
13,1
13,1
13,31
13,127
13,15
13,31
13,63
13,31
13,1
13,127
13,1
13,15
13,3071
13,1
13,7167
13,1
13,1
13,1
13,127
13,1
13,127
13,63
13,1
13,15
13,1
13,31
13,1
13,1
13,63
13,1
13,15
13,1
13,2047
13,1
13,7167
13,31
13,1
13,1
13,1
13,127
13,1
13,63
13,1
13,127
13,1
13,31
13,1
13,127
13,1
13,1
13,1
13,1
13,127
13,1
13,63
13,1
13,31
13,1
13,6143
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,63
13,1
13,63
13,63
13,1
13,6143
13,1
13,19455
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
14,1
14,1
14,1
14,63
14,1
14,7167
14,127
14,1
14,1
14,11263
14,1
14,1
14,1
14,1
14,1
14,1
14,255
14,1
14,63
14,1
14,255
14,1
14,63
14,6143
14,1
14,63
14,1
14,9215
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,31
14,6143
14,31
14,1
14,1
14,9215
14,1
14,17407
14,1
14,7
14,1
14,127
14,1
14,31
14,1
14,1
14,1
14,1
14,255
14,127
14,1
14,1
14,5119
14,9215
14,1
14,19455
14,1
14,1
14,1
14,31
14,1
14,1
14,63
14,1
14,1
14,3
14,63
14,1
14,1
14,255
14,15
14,4095
14,1
14,9215
14,1
14,19455
14,127
14,1
14,15
14,1
14,3
14,1
14,31
14,1
14,63
14,1
14,7
14,1
14,1
14,127
14,31
14,3071
14,1
14,9215
14,1
14,255
14,1
14,18431
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,2047
14,1
14,10239
14,1
14,63
14,1
14,16383
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,255
14,255
14,1
14,63
14,1
14,1023
14,1
14,10239
14,1
14,127
14,1
14,15
14,255
14,1
14,1
14,15359
14,1
14,1
14,1
14,1
14,1
14,31
14,63
14,31
14,1
14,511
14,1
14,10239
14,255
14,1
14,63
14,1
14,1
14,1
14,1
14,1
14,1
14,14335
14,1
14,1
14,1
14,1
14,127
14,15
14,15
14,255
14,255
14,10239
14,1
14,12287
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,255
14,31
14,15
14,127
14,1
14,1
14,1
14,9215
14,1
14,12287
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,127
14,1
14,127
14,127
14,1
14,63
14,9215
14,1
14,11263
14,1
14,1
14,1
14,31
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,127
14,1
14,63
14,1
14,255
14,8191
14,1
14,11263
14,127
14,1
14,127
14,1
14,1
14,1
14,31
14,1
14,1
14,1
14,127
14,63
14,63
14,63
14,63
14,7167
14,1
14,127
14,1
14,11263
14,1
14,127
14,1
14,63
14,255
14,1
14,127
14,1
14,7
14,1
15,127
15,1
15,63
15,255
15,63
15,1
15,255
15,10239
15,1
15,31
15,63
15,12287
15,127
15,1
15,127
15,1
15,63
15,1
15,1
15,1
15,1
15,1
15,63
15,127
15,127
15,1
15,15
15,10239
15,1
15,1
15,1
15,1
15,1
15,12287
15,1
15,31
15,1
15,1
15,127
15,1
15,31
15,127
15,31
15,1
15,127
15,9215
15,1
15,1
15,255
15,11263
15,1
15,1
15,1
15,1
15,1
15,1
15,31
15,1
15,15
15,1
15,1
15,1
15,63
15,63
15,127
15,9215
15,127
15,1
15,1
15,11263
15,1
15,63
15,1
15,63
15,127
15,13311
15,1
15,1
15,1
15,1
15,255
15,1
15,1
15,9215
15,63
15,1
15,255
15,10239
15,1
15,1
15,1
15,1
15,255
15,1
15,31
15,1
15,1
15,14335
15,1
15,1
15,1
15,1
15,255
15,8191
15,1
15,1
15,1
15,1
15,255
15,1
15,1
15,10239
15,1
15,12287
15,1
15,1
15,1
15,1
15,1
15,1
15,255
15,1
15,1
15,6143
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,10239
15,1
15,13311
15,1
15,1
15,1
15,1
15,1
15,1
15,255
15,4095
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,11263
15,1
15,12287
15,1
15,1
15,1
15,1
15,127
15,3071
15,1
15,63
15,1
15,11263
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,13311
15,1
15,3071
15,1
15,1
15,1
15,12287
15,1
15,10239
15,1
15,31
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1023
15,1
15,1023
15,1
15,11263
15,1
15,12287
15,1
15,1
15,1
15,1
15,1
15,1
15,127
15,1
15,63
15,1
15,63
15,1
15,1
15,255
15,1
15,63
15,1
15,15
15,63
15,1023
15,1
15,11263
15,1
15,11263
15,1
15,1
15,1
15,1
15,1
15,127
15,1
15,1
15,1
15,1
15,127
15,1
15,63
15,1
15,127
15,255
15,1
15,1
15,1
15,10239
15,1
15,12287
15,1
15,1
15,63
15,1
15,127
15,1
15,127
15,1
15,63
15,1
15,31
15,255
15,63
15,1
15,1
15,10239
15,1
15,1
15,1
15,12287
15,1
15,1
15,1
15,1
15,1
15,31
15,1
15,1
15,127
15,1
15,31
15,255
15,63
15,1
15,31
15,10239
15,127
15,1
15,1
15,12287
15,127
15,1
15,63
15,1
15,31
15,15
16,255
16,1
16,3071
16,255
16,255
16,20479
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,3071
16,255
16,63
16,1
16,20479
16,1
16,1
16,1
16,63
16,1
16,63
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,255
16,1
16,2047
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,20479
16,63
16,1
16,63
16,1
16,15
16,63
16,1
16,31
16,1
16,1
16,127
16,1023
16,1
16,20479
16,1
16,1
16,127
16,1
16,255
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,127
16,1023
16,1
16,19455
16,1
16,127
16,1
16,63
16,1
16,1
16,1
16,1
16,1
16,63
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,511
16,1
16,18431
16,1
16,127
16,1
16,63
16,1
16,7
16,63
16,1
16,1
16,1
16,1
16,1
16,63
16,1
16,127
16,1
16,1
16,255
16,255
16,18431
16,1
16,1
16,127
16,1
16,63
16,1
16,1
16,1
16,1
16,1
16,31
16,1
16,31
16,1
16,1
16,1
16,1
16,1
16,127
16,15359
16,1
16,63
16,1
16,127
16,1
16,1
16,1
16,31
16,1
16,255
16,1
16,255
16,1
16,1
16,1
16,1
16,255
16,14335
16,1
16,255
16,1
16,1
16,31
16,1
16,1
16,31
16,1
16,1
16,127
16,1
16,1
16,63
16,127
16,127
16,127
16,1
16,1
16,14335
16,255
16,127
16,63
16,1
16,63
16,15
16,127
16,1
16,63
16,1
16,63
16,1
16,63
16,1
16,31
16,1
16,1
16,1
16,1
16,255
16,1
16,12287
16,1
16,7
16,1
16,1
16,1
16,1
16,1
16,1
16,63
16,1
16,1
16,1
16,1
16,1
16,127
16,1
16,1
16,1
16,127
16,8191
16,1
16,2047
16,1
16,127
16,1
16,63
16,1
16,63
16,1
16,1
16,127
16,1
16,63
16,1
16,63
16,1
16,255
16,8191
16,127
16,255
16,1
16,63
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,255
16,1
16,63
16,1
16,1
16,1
16,1
16,255
16,1
16,5119
16,1
16,127
16,1
16,127
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,7
16,255
16,127
16,255
16,1
16,1
16,127
16,15
16,5119
16,63
16,1
16,127
16,1
16,15
16,31
16,1
16,1
16,1
16,3
16,63
16,1
16,127
16,1
16,1
16,1
16,1
16,1
16,31
16,4095
16,1
16,1
16,1
16,1
16,1
16,1
16,127
16,1
16,127
16,1
16,255
16,1
16,1
16,1
16,127
16,1
17,1
17,1
17,1
17,1
17,127
17,1
17,63
17,4095
17,1
17,15359
17,1
17,1
17,31
17,1
17,1
17,1
17,1
17,1
17,127
17,1
17,127
17,1
17,1
17,15
17,1
17,4095
17,1
17,12287
17,1
17,63
17,1
17,127
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,63
17,1
17,63
17,4095
17,1
17,11263
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,63
17,1
17,1
17,1
17,127
17,1
17,127
17,255
17,1
17,3071
17,1
17,9215
17,1
17,1
17,1
17,63
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,15
17,255
17,127
17,2047
17,1
17,1
17,1
17,1
17,1
17,1
17,255
17,9215
17,1
17,127
17,127
17,1
17,15
17,1
17,255
17,1
17,127
17,1
17,1
17,255
17,1
17,1
17,1
17,255
17,1
17,8191
17,1
17,1
17,1
17,1
17,1
17,1
17,63
17,1
17,1
17,1
17,63
17,15
17,1
17,127
17,63
17,1
17,1
17,255
17,1
17,8191
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,255
17,63
17,15
17,63
17,63
17,31
17,63
17,127
17,1
17,7167
17,1
17,1
17,1
17,1
