N,time
13,1
13,255
13,1
13,255
13,1
13,127
13,1
13,127
13,63
13,1023
13,15
13,1
13,127
13,1
13,1
13,1
13,1
13,1
13,1
13,511
13,1
13,255
13,1
13,63
13,127
13,127
13,1
13,1
13,1
13,31
13,1
13,255
13,1
13,3
13,1
13,127
13,1
13,127
13,255
13,255
13,127
13,127
13,1
13,255
13,1
13,63
13,1
13,31
13,15
13,63
13,63
13,63
13,1
13,7
13,63
13,1
13,1
14,127
14,63
14,1
14,1
14,31
14,15
14,127
14,1
14,1
14,15
14,255
14,1
14,31
14,31
14,127
14,1
14,1
14,1
14,255
14,1
14,1
14,1
14,1
14,63
14,127
14,1
14,1
14,1
14,127
14,1
14,1
14,1
14,127
14,63
14,31
14,1
14,2047
14,1
14,1
14,1
14,63
14,63
14,127
14,63
14,1
14,1
14,127
14,1
14,127
14,7
14,31
14,63
14,255
14,1
14,1
14,255
14,1
14,63
14,1
14,127
14,1
14,1
14,127
14,1
14,63
14,1
14,63
14,1
14,63
14,1
14,15
14,1
14,127
14,1
14,255
14,1
14,127
14,127
14,127
14,1
14,127
14,1
14,127
14,1
14,1
14,7
14,63
14,1
14,31
14,1
14,1
14,1
14,1
14,127
14,255
14,1
14,255
14,1
14,1
14,1
14,1
14,1
14,63
14,1
14,127
14,1
14,1
14,1
14,63
14,63
14,127
14,15
14,255
14,1
14,63
14,31
14,31
14,127
14,1023
14,1
14,255
14,1
14,63
14,1
14,127
14,1
14,1
14,31
14,127
14,1
14,63
14,63
14,127
14,1
14,63
14,1
14,255
14,255
14,1
14,127
14,255
14,127
14,15
14,3
14,7
14,63
14,63
14,1
14,15
14,1
14,63
14,15
14,31
14,127
14,127
14,1
14,63
14,1
14,63
14,63
14,1
14,1
14,255
14,1
14,7
14,1
14,255
14,1
14,63
14,1
14,127
14,1
14,1
14,1
14,127
14,1
14,63
14,7
14,63
14,1
14,255
14,1
14,127
14,1
14,255
14,1
14,63
14,3
14,127
14,1
14,63
14,7
14,63
14,7
14,255
14,1
14,1
14,1
14,255
14,1
14,1
14,1
14,255
14,1
14,63
14,63
14,63
14,1
14,15
14,7
14,1
14,1
14,31
14,1
14,127
14,127
14,1
14,1
14,1
14,127
14,1
14,255
14,255
14,1
14,127
14,1
14,1
14,1
14,31
14,31
14,15
14,1
14,255
14,1
14,1
14,31
14,127
14,1
14,63
14,1
14,511
14,31
14,127
14,1
14,63
14,1
14,63
14,1
14,31
14,31
14,1
14,127
14,127
14,1
14,127
14,1
14,127
14,3
14,127
14,1
14,1
14,1
14,63
14,1
14,1
14,31
14,63
14,127
14,1
14,1
14,31
14,127
14,127
14,1
14,127
14,1
14,7
14,31
14,1
14,255
15,1
15,1
15,1
15,255
15,63
15,1
15,63
15,1
15,1
15,63
15,63
15,1
15,31
15,1
15,15
15,1
15,1
15,1
15,1
15,127
15,255
15,1
15,511
15,1
15,255
15,63
15,127
15,31
15,1
15,15
15,1
15,1
15,127
15,1
15,31
15,1
15,127
15,1
15,1
15,1
15,1
15,1
15,127
15,127
15,1
15,1
15,255
15,1
15,255
15,1
15,7
15,31
15,15
15,31
15,1
15,63
15,1
15,3
15,1
15,1
15,255
15,1
15,255
15,63
15,127
15,255
15,1
15,127
15,1
15,1
15,1
15,1
15,1
15,31
15,1
15,1
15,1
15,63
15,1
15,1
15,1
15,127
15,255
15,1
15,127
15,1
15,3071
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,127
15,1
15,255
15,1
15,255
15,1
15,255
15,1
15,255
15,1
15,127
15,1
15,63
15,1
15,511
15,1
15,127
15,63
15,63
15,127
15,31
15,127
15,255
15,127
15,1
15,15
15,255
15,63
15,63
15,7
15,127
15,1
15,1
15,15
15,1
15,1
15,255
15,1
15,1
15,1
15,127
15,1
15,1
15,63
15,31
15,1
15,15
15,31
15,63
15,1
15,63
15,1
15,127
15,1
15,15
15,31
15,127
15,63
15,255
15,1
15,63
15,1
15,7
15,1
15,63
15,1
15,127
15,1
15,1
15,1
15,1
15,1
15,15
15,1
15,7
15,1
15,127
15,1
15,511
15,1
15,1
15,1
15,2047
15,255
15,255
15,1
15,63
15,1
15,127
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,255
15,15
15,1
15,31
15,255
15,1
15,31
15,1
15,255
15,1
15,31
15,1
15,127
15,511
15,1
15,127
15,1
15,63
15,1
15,1
15,1
15,1
15,127
15,127
15,1
15,15
15,127
15,127
15,1
15,1
15,127
15,127
15,1
15,1
15,1
15,1
15,1
15,127
15,127
15,127
15,15
15,255
15,7
15,31
15,1
15,255
15,1
15,63
15,1
15,255
15,1
15,127
15,1
15,63
15,1
15,1
15,1
15,127
15,1
15,1
15,1
15,255
15,1
15,31
15,1
15,15
15,63
15,1023
15,1
15,1
15,127
15,1023
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,255
15,1
15,127
15,1
15,15
15,1
15,255
15,127
15,1
15,63
15,1
15,7
15,63
15,1
15,255
15,255
15,1
15,1
15,1
15,1
16,255
16,1
16,127
16,1
16,1
16,255
16,1
16,63
16,1
16,127
16,127
16,1
16,127
16,127
16,63
16,1
16,1
16,1
16,127
16,1
16,127
16,1
16,31
16,1
16,127
16,1
16,127
16,63
16,15
16,1
16,31
16,1
16,255
16,1
16,1
16,1
16,1
16,63
16,15
16,63
16,1
16,1
16,1
16,1
16,127
16,127
16,63
16,63
16,63
16,1
16,63
16,15
16,1
16,127
16,127
16,1
16,63
16,1
16,127
16,1
16,127
16,1
16,127
16,1
16,127
16,1
16,63
16,15
16,7
16,127
16,63
16,1
16,63
16,1
16,31
16,1
16,127
16,1
16,1
16,1
16,1
16,1
16,1
16,63
16,255
16,31
16,1
16,1
16,15
16,1
16,255
16,1
16,63
16,31
16,127
16,1
16,1
16,1
16,1
16,1
16,1
16,127
16,1
16,63
16,1
16,1
16,1
16,15
16,1
16,31
16,1
16,1
16,1
16,255
16,1
16,31
16,1
16,127
16,1
16,31
16,4095
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,255
16,1
16,63
16,1
16,127
16,1
16,127
16,1
16,15
16,1
16,127
16,1
16,63
16,1
16,127
16,1
16,63
16,1
16,63
16,63
16,127
16,1
16,1
16,1
16,1
16,1
16,127
16,31
16,1
16,1
16,63
16,127
16,1
16,15
16,63
16,1
16,7
16,63
16,1
16,1
16,127
16,1
16,31
16,127
16,255
16,255
16,127
16,255
16,1
16,15
16,1
16,63
16,127
16,1
16,63
16,1
16,127
16,1
16,255
16,1
16,1
16,63
16,255
16,1
16,511
16,1
16,1023
16,1
16,15
16,1
16,63
16,15
16,15
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,63
16,127
16,127
16,1
16,63
16,15
16,15
16,1
16,63
16,127
16,63
16,1
16,255
16,1
16,31
16,127
16,127
16,1
16,127
16,1
16,255
16,1
16,127
16,1
16,63
16,1
16,1
16,1
16,127
16,1
16,1
16,127
16,127
16,1
16,255
16,1
16,1
16,63
16,255
16,63
16,255
16,1
16,63
16,127
16,31
16,1
16,31
16,15
16,255
16,1
16,31
16,63
16,255
16,1
16,127
16,1
16,127
16,1
16,1
16,1
16,255
16,127
16,63
16,1
16,255
16,1
16,1
16,1
16,15
16,127
16,127
16,1
16,63
16,127
16,127
16,1
16,127
16,1
16,1
16,127
16,1
16,1
16,31
16,1
16,1023
16,1
16,63
16,1
16,255
16,1
16,1
16,63
16,63
16,127
16,63
16,127
16,1
16,1
17,63
17,127
17,31
17,1
17,127
17,1
17,1
17,1
17,63
17,1
17,1
17,1
17,127
17,127
17,1
17,1
17,1
17,63
17,1
17,127
17,1
17,1
17,127
17,255
17,7
17,63
17,3
17,63
17,1
17,63
17,127
17,1
17,63
17,3
17,15
17,1
17,1
17,1
17,1
17,63
17,255
17,1
17,255
17,1
17,1
17,511
17,1
17,1
17,1
17,1
17,63
17,1
17,31
17,1
17,127
17,1
17,255
17,1
17,1
17,1
17,1
17,1
17,4095
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,127
17,255
17,1
17,127
17,1
17,31
17,1
17,63
17,1
17,127
17,1
17,1
17,1
17,63
17,1
17,31
17,1
17,255
17,1
17,63
17,127
17,1
17,127
17,1
17,63
17,1
17,63
17,1
17,255
17,1
17,1
17,15
17,127
17,1
17,15
17,1
17,63
17,1
17,63
17,31
17,1
17,1
17,127
17,127
17,63
17,31
17,63
17,1
17,1
17,127
17,31
17,1
17,31
17,31
17,1
17,1
17,1
17,1
17,63
17,1
17,255
17,1
17,127
17,1
17,255
17,255
17,1
17,63
17,1
17,1
17,63
17,1
17,1023
17,1
17,15
17,1
17,1
17,1
17,127
17,1
17,1
17,1
17,127
17,1
17,1
17,127
17,1023
17,1
17,63
17,511
17,1
17,127
17,127
17,1
17,15
17,1
17,1
17,15
17,127
17,1
17,255
17,1
17,255
17,1
17,255
17,1
17,127
17,1
17,31
17,1
17,3
17,255
17,1
17,1
17,15
17,255
17,1
17,1
17,255
17,127
17,1
17,1
17,127
17,127
17,127
17,31
17,255
17,1
17,15
17,1
17,1
17,1
17,511
17,1
17,255
17,15
17,1
17,255
17,255
17,63
17,511
17,1
17,255
17,1
17,127
17,1
17,63
17,127
17,1023
17,63
17,15
17,1
17,127
17,1
17,31
17,127
17,1
17,1
17,1
17,1
17,1
17,255
17,63
17,127
17,127
17,1
17,127
17,1
17,255
17,255
17,1
17,31
17,1
17,1
17,127
17,1
17,1
17,15
17,127
17,1
17,1
17,1
17,255
17,1
17,127
17,1
17,127
17,1
17,15
17,1
17,15
17,1
17,15
17,7
17,255
17,127
17,127
17,127
17,511
17,1
17,127
17,127
17,63
17,1
17,1
17,1
17,127
17,1
17,63
17,1
17,63
17,1
17,63
17,127
17,255
17,63
17,255
17,127
17,1
17,1
17,127
17,1
17,1
17,31
17,127
17,1
17,127
17,1
17,1
17,1
17,255
17,255
17,1
17,63
17,1
17,1
17,1
17,15
17,1
17,1
17,1
17,1
17,63
17,63
17,127
17,1
17,63
17,31
17,127
17,1
17,255
17,127
17,2047
17,1
17,1
17,1
17,1
17,1
17,1
17,1
18,4095
18,1
18,1
18,127
18,1
18,63
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,255
18,1
18,1023
18,1
18,15
18,1
18,255
18,1
18,1
18,1
18,15
